"MRC 
Table A

Core SD-WAN_Unnamed: 0_level_1_City","MRC 
Table A

Core SD-WAN_Unnamed: 1_level_1_Tax
(%)","MRC 
Table A

Core SD-WAN_Unnamed: 2_level_1_Tax & Transporation","MRC 
Table A

Core SD-WAN_Unnamed: 3_level_1_CPE 
Band-width 
(Mbps)","MRC 
Table A

Core SD-WAN_Unnamed: 4_level_1_Band-width 
Range","VE2000
Need extra accessories_GM Price_MRC
(USD)","VE1000
Need extra accessories_Unnamed: 6_level_1_Unnamed: 6_level_2",VE100b_Unnamed: 7_level_1_Unnamed: 7_level_2,"ISR-4451
Need extra accessories_Unnamed: 8_level_1_Unnamed: 8_level_2","ISR-4431
Need extra accessories_Unnamed: 9_level_1_Unnamed: 9_level_2","ISR-4331
Need extra accessories_Unnamed: 10_level_1_Unnamed: 10_level_2",C1111-8PLTE_Unnamed: 11_level_1_Unnamed: 11_level_2,C1111X-8P_Unnamed: 12_level_1_Unnamed: 12_level_2,ISR1100X-6G_Unnamed: 13_level_1_Unnamed: 13_level_2,ISR1100-4GLTEGB_Unnamed: 14_level_1_Unnamed: 14_level_2,ISR1100-4G_Unnamed: 15_level_1_Unnamed: 15_level_2,"ASR-1001X
Need extra accessories_Unnamed: 16_level_1_Unnamed: 16_level_2","vCPE
vEdgeCloud_Unnamed: 17_level_1_Unnamed: 17_level_2","vCPE
CSR1kv_Unnamed: 18_level_1_Unnamed: 18_level_2","Cisco
Advance License for CPE_GM Price_MRC
(USD)",Premimun License for CPE_Unnamed: 20_level_1_Unnamed: 20_level_2,"Cisco Advance License for Shared GW_GM Price_MRC
(USD)","Cisco
Advance
License for dedicateGW_Unnamed: 22_level_1_MRC
(USD)","MPLS-VPN
 for GW_Unnamed: 23_level_1_MRC
(USD)","Internet
for GW_Unnamed: 24_level_1_MRC
(USD)"
"7

Korea  
",0.1,0.16,5,< 5,,80.08126082117914,38.31693015451249,,,,83.42785653464715,72.38564270064042,,56.05386504340137,47.394593932290256,,32.890314821179146,,54.064816666666665,108.12963333333333,,54.064816666666665,9.690000000000001,20.203720503195633
,,,10,6-10Mb,,80.08126082117914,38.31693015451249,,,,83.42785653464715,72.38564270064042,,56.05386504340137,47.394593932290256,,32.890314821179146,,54.064816666666665,108.12963333333333,,64.87778,19.380000000000003,40.40744100639127
,,,15,11-15Mb,,80.08126082117914,38.31693015451249,,,,83.42785653464715,72.38564270064042,,56.05386504340137,47.394593932290256,,32.890314821179146,,88.21538000000001,157.83215555555554,,97.03691799999977,29.070000000000004,60.6111615095869
,,,25,11-25Mb,346.09989771006803,80.08126082117914,38.31693015451249,558.5458388834688,389.121469009058,137.23678988245862,83.42785653464715,72.38564270064042,102.16448371006803,56.05386504340137,47.394593932290256,,32.890314821179146,,108.45532500000002,216.91065000000003,,113.87809125000001,48.45,101.01860251597816
,,,50,26-50Mb,346.09989771006803,80.08126082117914,38.31693015451249,558.5458388834688,389.121469009058,137.23678988245862,83.42785653464715,72.38564270064042,102.16448371006803,56.05386504340137,47.394593932290256,,32.890314821179146,72.36809259895693,134.1741999999999,268.3483999999998,,161.00903999999974,96.9,202.03720503195632
,,,100,51-100Mb,346.09989771006803,80.08126082117914,,558.5458388834688,389.121469009058,137.23678988245862,83.42785653464715,72.38564270064042,102.16448371006803,56.05386504340137,47.394593932290256,,32.890314821179146,72.36809259895693,264.19713222222225,528.3942644444445,0.0,290.61684544444444,193.8,404.07441006391264
,,,250,101-250Mb,346.09989771006803,,,558.5458388834688,389.121469009058,137.23678988245862,,,102.16448371006803,,,,32.890314821179146,72.36809259895693,354.86574444444454,709.7314888888891,0.0,372.60903166666674,484.50000000000006,1010.1860251597817
,,,500,251-500Mb,346.09989771006803,,,558.5458388834688,389.121469009058,,,,,,,,32.890314821179146,72.36809259895693,433.82130000000006,867.6426000000001,0.0,477.2034300000001,969.0000000000001,2020.3720503195634
"8

Germany 
",0.19,0.25,5,< 5,,83.74262732117914,38.737960654512484,,,,87.34887270207142,75.44993538094344,,57.85103704340138,48.519925932290256,,32.890314821179146,,58.488301666666665,116.97660333333333,,58.488301666666665,6.460000000000001,20.203720503195633
,,,10,6-10Mb,,83.74262732117914,38.737960654512484,,,,87.34887270207142,75.44993538094344,,57.85103704340138,48.519925932290256,,32.890314821179146,,58.488301666666665,116.97660333333333,,70.185962,12.920000000000002,40.40744100639127
,,,15,11-15Mb,,83.74262732117914,38.737960654512484,,,,87.34887270207142,75.44993538094344,,57.85103704340138,48.519925932290256,,32.890314821179146,,95.433002,170.74569555555556,,104.97630219999972,19.380000000000003,60.6111615095869
,,,25,11-25Mb,370.400641210068,83.74262732117914,38.737960654512484,599.329457129681,416.7600930408762,145.33263708548893,87.34887270207142,75.44993538094344,107.53920371006805,57.85103704340138,48.519925932290256,,32.890314821179146,,117.32894250000001,234.65788500000002,,123.19538962500002,32.300000000000004,101.01860251597816
,,,50,26-50Mb,370.400641210068,83.74262732117914,38.737960654512484,599.329457129681,416.7600930408762,145.33263708548893,87.34887270207142,75.44993538094344,107.53920371006805,57.85103704340138,48.519925932290256,,32.890314821179146,75.59809259895692,145.15208909090896,290.3041781818179,,174.1825069090906,64.60000000000001,202.03720503195632
,,,100,51-100Mb,370.400641210068,83.74262732117914,,599.329457129681,416.7600930408762,145.33263708548893,87.34887270207142,75.44993538094344,107.53920371006805,57.85103704340138,48.519925932290256,,32.890314821179146,75.59809259895692,285.8132612222222,571.6265224444444,0.0,314.3945873444444,129.20000000000002,404.07441006391264
,,,250,101-250Mb,370.400641210068,,,599.329457129681,416.7600930408762,145.33263708548893,,,107.53920371006805,,,,32.890314821179146,75.59809259895692,383.90021444444443,767.8004288888889,0.0,403.09522516666675,323.0,1010.1860251597817
,,,500,251-500Mb,370.400641210068,,,599.329457129681,416.7600930408762,,,,,,,,32.890314821179146,75.59809259895692,469.31577000000004,938.6315400000001,0.0,516.247347,646.0,2020.3720503195634
"9

USA

Los Angeles California
(15.5%)
Tax of other locations may be different",0.095,0.155,5,< 5,,79.87785157117915,38.29353957117915,,,,83.2100223031236,72.21540421840136,,55.95402215451248,47.33207548784581,,32.890314821179146,,53.8190675,107.638135,,53.8190675,6.460000000000001,20.203720503195633
